generation,best_time,average_time,Pc,Pm,reward
1,1392,1554.13,0.890317735019772,0.02438760767830929,0.023706896551724137
2,1359,1522.6466666666668,0.7542750200527351,0.060659041819613645,0.02207505518763797
3,1329,1500.14,0.7200973396401438,0.2040299473050655,0.0
4,1329,1485.91,0.6167980455868756,0.13488776021445256,-0.025583145221971408
5,1363,1471.38,0.4859374368918608,0.1926401639483323,0.01760821716801174
6,1339,1454.9566666666667,0.42176787804965266,0.14367028514091867,0.005227781926811053
7,1332,1449.2733333333333,0.6693798821227976,0.18773001025411104,0.01951951951951952
8,1306,1447.2466666666667,0.6969271873144505,0.08997509054939626,-0.010719754977029096
9,1320,1438.27,0.5219945083990101,0.20993768184793707,0.015151515151515152
10,1300,1424.2833333333333,0.8981885868224961,0.18498576093593447,0.0
11,1300,1425.8033333333333,0.6606433422809601,0.028673731087794176,-0.01
12,1313,1407.81,0.5519008547490916,0.03019562813806153,0.0
13,1313,1395.7033333333334,0.5229353868138334,0.12015156822028292,0.0
14,1313,1386.39,0.7386834568231905,0.10510911426974545,0.0
15,1313,1387.92,0.5448366681365309,0.1734530745427293,0.012947448591012947
16,1296,1388.4866666666667,0.5341015781220899,0.14564298621871385,-0.013117283950617283
17,1313,1376.86,0.4486924015671462,0.018540784827383916,0.0030464584920030465
18,1309,1363.7233333333334,0.7733996229423346,0.08238062531711297,0.006111535523300229
19,1301,1366.2033333333334,0.7726249969627536,0.08719539370730871,-0.009223674096848577
20,1313,1358.4,0.4636152409115446,0.17529280950727788,0.0
21,1313,1343.2133333333334,0.6465058885178662,0.16856993725981256,0.0
22,1313,1336.48,0.8013139396733029,0.20464681770942456,0.0
23,1313,1337.01,0.6782288114841596,0.10903699338921694,0.0
24,1313,1327.4066666666668,0.497603419846343,0.20336401478744856,0.008377760853008377
25,1302,1328.8733333333332,0.8277190594536169,0.10703072036412095,-0.004608294930875576
26,1308,1326.7333333333333,0.778365935141953,0.1118365077760746,0.00382262996941896
27,1303,1327.2766666666666,0.4038829970582721,0.20719557640112893,0.0
28,1303,1327.8866666666668,0.50229203869342,0.14418675259035196,0.0
29,1303,1323.05,0.679907504368618,0.13703278890802684,0.0
30,1303,1327.0,0.5644233756278967,0.07118977193142306,0.0
31,1303,1325.6833333333334,0.45180087599491625,0.17564705157822477,0.007674597083653108
32,1293,1329.5866666666666,0.8901715952805767,0.10957392546521094,-0.007733952049497293
33,1303,1331.6766666666667,0.604307697253611,0.052207052488416096,0.0
34,1303,1324.5533333333333,0.4458556811651448,0.1677646272076808,0.0
35,1303,1323.51,0.5041336292883662,0.18506276507849156,0.0
