generation,best_time,average_time,Pc,Pm,reward
1,1089,1257.6233333333332,0.4000922083706191,0.028484234456121214,0.008264462809917356
2,1080,1218.4033333333334,0.8199004914475299,0.12300509228696063,0.013888888888888888
3,1065,1210.9533333333334,0.7393496801554986,0.09890291490445932,0.0
4,1065,1193.4966666666667,0.7692676265796874,0.010844194701844714,0.0
5,1065,1186.6666666666667,0.7601178901312926,0.13378413613843562,0.0
6,1065,1180.3766666666668,0.8825573933539808,0.14369522840429805,0.012206572769953052
7,1052,1172.7,0.6517469052045926,0.03474237926474585,0.0
8,1052,1165.32,0.4037745886362218,0.13403178554274606,0.0028517110266159697
9,1049,1148.6866666666667,0.6645575039205793,0.097110156439796,0.015252621544327931
10,1033,1139.2533333333333,0.5248123670817306,0.1844021954973548,-0.011616650532429816
11,1045,1125.4833333333333,0.8336544788799645,0.18148223358267532,0.0009569377990430622
12,1044,1134.2066666666667,0.7788813996626609,0.134075283280068,0.0028735632183908046
13,1041,1127.2166666666667,0.5181685461018106,0.06101053584059245,0.0
14,1041,1109.5533333333333,0.740446290965796,0.02723771540223291,0.0
15,1041,1106.72,0.8690300497550596,0.05470134684452858,0.0
16,1041,1109.4733333333334,0.8450222057458772,0.10397452536772651,0.002881844380403458
17,1038,1105.1666666666667,0.8665578766828035,0.1385850329423245,0.009633911368015413
18,1028,1112.7,0.8249595604440085,0.19026437986145045,0.030155642023346304
19,997,1111.8566666666666,0.7579819393692244,0.1395400013993615,0.0
20,997,1097.18,0.7987590539175828,0.10248182090569709,-0.015045135406218655
21,1012,1097.08,0.6394322779483481,0.1579034768503338,0.0
22,1012,1076.99,0.5720874272376573,0.19298777504652512,0.0
23,1012,1078.37,0.8192656533244544,0.18949323079039276,0.0029644268774703555
24,1009,1082.2466666666667,0.8252712975262422,0.07652495715559986,0.0
25,1009,1072.5833333333333,0.6221291020644373,0.07266030998079845,0.0
26,1009,1063.6366666666668,0.4788807107907453,0.15021567900619426,0.008919722497522299
27,1000,1055.24,0.7895666454996707,0.0165937852440872,0.0
28,1000,1058.6966666666667,0.6703524922972505,0.06867078508278131,0.0
29,1000,1067.84,0.7800463858865632,0.20140014915504542,0.0
30,1000,1073.3766666666668,0.7402758082700589,0.19142769338545493,0.0
31,1000,1069.36,0.8699201166672527,0.05270160161708787,0.0
32,1000,1072.19,0.62702682264993,0.0422174352420467,0.0
33,1000,1051.1333333333334,0.872222726047225,0.11558757076614774,0.0
34,1000,1048.0966666666666,0.44528324479027875,0.05575128565190749,0.013
35,987,1026.6366666666668,0.4914897127588031,0.014968965739189101,0.0
36,987,1014.5566666666666,0.7170240060926503,0.20207159847395859,0.0
37,987,1019.9,0.5263204374723554,0.1314836607087979,0.0
38,987,1014.5933333333334,0.7129337463923633,0.19524281605194868,0.0
39,987,1016.0366666666666,0.7553834820044698,0.15321709509616488,0.0
40,987,1013.9566666666667,0.7860423313573209,0.0867181204365804,0.0
41,987,1011.4433333333334,0.7931967322556758,0.15555677496511014,0.0
42,987,1012.3066666666666,0.7392577450884722,0.10196386274644906,0.0
43,987,1012.1166666666667,0.631016836223102,0.012075370471404048,0.008105369807497468
44,979,1007.4033333333333,0.8586866627745542,0.06540813560641215,0.0
45,979,1005.0966666666667,0.6617366914167874,0.09148802035546032,0.0
46,979,998.4333333333333,0.7081536464036084,0.15628346742948937,0.0
47,979,996.1966666666667,0.5121290149379589,0.022311368874587324,0.0
48,979,991.3533333333334,0.4726938398474852,0.17285732112239108,0.0040858018386108275
49,975,994.2433333333333,0.7643020138100786,0.20447042750538458,0.0
50,975,998.7066666666667,0.8412091874160179,0.0580034132672176,0.0
51,975,992.0833333333334,0.831474752115407,0.06366523507839489,0.0041025641025641026
52,971,991.74,0.5550930641108396,0.06639613526341873,0.0
53,971,989.68,0.6228565794072973,0.023106306344428708,0.004119464469618949
54,967,986.7866666666666,0.8185864111185721,0.02001328117109013,0.0
55,967,987.8066666666666,0.87407590185573,0.15814656631115476,0.023784901758014478
56,944,995.0033333333333,0.4052335094900064,0.18856484998145384,0.0
57,944,987.7533333333333,0.8632422069517666,0.018223555811257355,0.0
58,944,981.6833333333333,0.6265229686078393,0.09387147498364401,0.0
59,944,977.46,0.7172386325853124,0.0965953180557007,0.0
60,944,972.0766666666667,0.8952771427715304,0.030616035471916284,0.0
61,944,969.5233333333333,0.5579739731766271,0.048260885832698955,0.0
62,944,960.62,0.5864396957029216,0.01675630726090155,0.0
63,944,958.2133333333334,0.7867256861814242,0.20880886497766957,0.0
64,944,971.4,0.6277292687719966,0.15369299542963477,0.0
65,944,962.8433333333334,0.8938888969818065,0.16554246741907022,0.0
66,944,968.12,0.8428184889894905,0.20166987880787493,0.0
67,944,973.7766666666666,0.4272138377093677,0.04263507223074207,0.0
68,944,959.57,0.7505144565113151,0.1002643164403515,0.0
69,944,963.4,0.8850116296376481,0.09298301812999288,0.00423728813559322
70,940,965.4533333333334,0.675585675644647,0.1503348488077509,0.0
71,940,965.3666666666667,0.5823003248029824,0.02574453522625974,0.0
72,940,958.4666666666667,0.7261607428252692,0.024648004047621165,0.0
73,940,957.45,0.6141445996923023,0.10577063182015423,0.0
74,940,954.0733333333334,0.6536731042104291,0.10286882093674483,0.0031914893617021275
75,937,954.6866666666666,0.8076360527325053,0.1741978128655658,0.0010672358591248667
76,936,962.28,0.6010384222835142,0.06547390482693817,0.0
77,936,956.6633333333333,0.6388446444604676,0.1642327291211063,0.0
78,936,956.02,0.8978255438352247,0.08999526662455093,0.0
79,936,954.01,0.8083474079183659,0.10712133784333729,0.0
80,936,952.5666666666667,0.8673556290275289,0.01914578202311016,0.0
81,936,947.9866666666667,0.49108209982849593,0.07214118464727654,0.0
82,936,946.49,0.4970552807129713,0.1601036591893409,0.0
83,936,951.6166666666667,0.4854953342058219,0.06191915085423204,0.0
84,936,946.3533333333334,0.7202173982544888,0.17833394962090943,0.0
85,936,950.77,0.6616551484031677,0.09823923131733192,0.0
86,936,947.46,0.5799196541299381,0.10928211567118302,0.0
