generation,best_time,average_time,Pc,Pm,reward
1,571,644.5366666666666,0.5775612158997769,0.01483735523913471,0.01926444833625219
2,560,624.12,0.648218685818827,0.13148089671656576,0.008928571428571428
3,555,610.9433333333334,0.45580975853880196,0.18336224174551066,0.007207207207207207
4,551,600.94,0.40018236673276547,0.07319707524764489,0.0
5,551,588.9533333333334,0.6834083972799807,0.16909098448844695,0.012704174228675136
6,544,585.1866666666666,0.8335311981397471,0.07244576583906939,0.009191176470588236
7,539,576.83,0.8351046927769865,0.16040877822593386,0.0018552875695732839
8,538,573.9766666666667,0.494349450967923,0.10807190333477837,0.0
9,538,566.0166666666667,0.6271564367120467,0.13383600037431387,0.0
10,538,565.7166666666667,0.6071237862040963,0.10706708296510162,0.0037174721189591076
11,536,560.6033333333334,0.40528040210901667,0.14910025771776456,0.009328358208955223
12,531,564.3666666666667,0.4327727011354439,0.09498846836162145,-0.003766478342749529
13,533,559.7133333333334,0.5632351230862048,0.1492534197708379,0.00375234521575985
14,531,557.55,0.7234185292826012,0.1207930399497142,0.0018832391713747645
15,530,553.2433333333333,0.6641648626964483,0.027977344537836395,0.0
16,530,548.15,0.6063078003262681,0.016319003866292894,0.0
17,530,545.5766666666667,0.6060532190069119,0.1362351081287575,0.005660377358490566
18,527,549.9933333333333,0.5315087160335793,0.12259101380808861,0.003795066413662239
19,525,548.75,0.8834492346392321,0.12742730150897086,-0.0019047619047619048
20,526,547.8733333333333,0.7557476158688392,0.1032178783304279,0.0
21,526,546.79,0.7417241773326209,0.012588410003502162,0.0019011406844106464
22,525,541.94,0.48978022331323323,0.0185012205882679,0.0019047619047619048
23,524,539.4866666666667,0.7608686205059763,0.11635557255806155,0.0
24,524,543.9966666666667,0.6206663342170997,0.10517583226005067,-0.003816793893129771
25,526,545.6133333333333,0.5549746675688474,0.0580760590488984,0.0038022813688212928
26,524,540.5033333333333,0.5547904092321594,0.20656103450703603,0.0019083969465648854
27,523,548.4866666666667,0.7982087334676728,0.11474835143704594,0.0
28,523,542.51,0.7870224672406824,0.19767533515018665,0.0
29,523,544.7866666666666,0.7984796128836178,0.08313976108805447,0.0
30,523,539.9866666666667,0.8698245581246961,0.14704659604059345,0.0
31,523,541.0433333333333,0.6573830235450772,0.13685510608764184,0.0
32,523,540.59,0.5972084733198074,0.1404207383004485,0.0
33,523,541.24,0.6552644333531543,0.08552759350963433,0.0
34,523,537.52,0.580580449370115,0.06312674764229947,0.0
35,523,534.1966666666667,0.7984566195905347,0.012141853885773726,0.0
36,523,532.78,0.6182143964205704,0.08843660153662924,0.0
37,523,535.2266666666667,0.5380027060281072,0.18916292218715935,0.0
38,523,544.2766666666666,0.5225854042319062,0.047811713625368235,0.0
39,523,533.3633333333333,0.6105087721138966,0.14412088863535913,0.0
40,523,541.1766666666666,0.7947481609234149,0.0921767213797293,0.0
41,523,534.8533333333334,0.8832420117750144,0.022872654916332627,0.0
42,523,531.4766666666667,0.7589570646221795,0.08852045243394194,0.0
43,523,533.55,0.5652253709363216,0.058677410733429435,0.0
44,523,529.1466666666666,0.7573328391591463,0.03910371548784882,0.0
45,523,528.6966666666667,0.7596321069179243,0.12306656494366146,0.0
46,523,530.5166666666667,0.6751338563226682,0.14779096986395368,0.0
47,523,535.0333333333333,0.7800251172771173,0.15251327626640854,0.0
48,523,535.7433333333333,0.7937236193367129,0.058400036093780895,0.0
49,523,531.3,0.7172571903056667,0.012850869291650682,0.0
50,523,528.12,0.46772872994063186,0.15806439409500306,0.0
51,523,540.0733333333334,0.8973202246830602,0.026233629853670448,0.0
52,523,529.18,0.5754005852027515,0.19019374548518805,0.0
53,523,539.0233333333333,0.8917187661296895,0.19838227266434214,0.0
54,523,539.53,0.8071235804474375,0.11307115337456597,0.0
55,523,534.8433333333334,0.6336231742699346,0.11699471389537457,0.0
56,523,533.2366666666667,0.452462220442138,0.1177880062635526,0.0
57,523,537.03,0.503318926151507,0.0642324427101785,0.0
58,523,531.3933333333333,0.4425633657751981,0.04398699974918169,0.0
59,523,528.6133333333333,0.41279259230446225,0.07131606739198262,0.0
60,523,531.5366666666666,0.78751191028743,0.16440530928076663,0.0
61,523,534.48,0.6370917185385365,0.17247139867525568,0.0
62,523,534.0733333333334,0.6501621506922005,0.1508215007708619,0.0
63,523,535.4766666666667,0.6030909272035715,0.09850138567084879,0.0
64,523,532.31,0.7041020994902809,0.055987594562318665,0.0
65,523,529.93,0.6723157311415213,0.010571311981928991,0.0
66,523,524.79,0.4991519319633718,0.03825605915457843,0.0
67,523,526.41,0.6322163392638183,0.15819800059718817,0.0
68,523,534.3366666666667,0.7042222769366976,0.07479330589602447,0.0
69,523,530.7066666666667,0.5598810588619513,0.015960774432315708,0.0
70,523,525.85,0.6877155642039323,0.17165889170327855,0.0
71,523,533.1766666666666,0.5928602315581657,0.13443449170951247,0.0
72,523,533.42,0.8355754699878497,0.2051107558350723,0.0
73,523,536.34,0.4303381949948907,0.1143213894534667,0.0
74,523,532.8866666666667,0.49192974168328985,0.1587406591926868,0.0
75,523,537.96,0.803255011433589,0.166014825355689,0.0
76,523,535.0466666666666,0.8342463655577701,0.16624782614935732,0.0
77,523,538.5833333333334,0.4777824510819149,0.1372192294740946,0.0
Total Time,341.5853681564331,,,,
