generation,best_time,average_time,Pc,Pm,reward
1,1066,1257.76,0.7984768891179885,0.08388192463090942,-0.03377110694183865
2,1102,1225.0533333333333,0.7691818224347947,0.12995394514905867,0.014519056261343012
3,1086,1209.1133333333332,0.6556032440895162,0.1976569729416392,0.004604051565377533
4,1081,1194.24,0.8230981149338241,0.12597214775984245,0.0037002775208140612
5,1077,1189.1233333333332,0.5281883740255191,0.027221721248781007,0.0
6,1077,1165.3633333333332,0.5320899444584124,0.19991627648569743,0.0
7,1077,1156.9733333333334,0.8653085320886177,0.11361696330374557,0.02042711234911792
8,1055,1146.5133333333333,0.40413307940504956,0.0982514512149711,0.006635071090047393
9,1048,1129.3466666666666,0.7611001890497382,0.13587147652403544,-0.0019083969465648854
10,1050,1129.69,0.828657655697588,0.013679425100644918,0.0
11,1050,1126.5566666666666,0.40463028142450796,0.037648571278601294,0.0
12,1050,1112.59,0.8529446593130282,0.18593547528888402,0.0
13,1050,1118.7,0.4942389301117277,0.03212468694806227,0.02095238095238095
14,1028,1106.9966666666667,0.4801532004583998,0.11951078997601756,-0.0048638132295719845
15,1033,1104.6966666666667,0.6291369468571524,0.10126847529702596,0.0
16,1033,1098.33,0.5182084118435331,0.07182419005009928,0.007744433688286544
17,1025,1093.2566666666667,0.823082177092612,0.028697238774976756,0.0
18,1025,1094.6333333333334,0.6351473252226321,0.18578352424156575,-0.011707317073170732
19,1037,1098.77,0.8911681376255942,0.026563044465739816,0.017357762777242044
20,1019,1099.8,0.6598376990426036,0.031133749983719483,0.0
21,1019,1089.72,0.7939013915142865,0.15391187622296343,0.0
22,1019,1091.8533333333332,0.882825165317785,0.1097803212835415,-0.002944062806673209
23,1022,1085.7566666666667,0.854018674367296,0.17432449212554244,0.00684931506849315
24,1015,1080.9766666666667,0.49357635828313473,0.03819959917170005,0.008866995073891626
25,1006,1065.9033333333334,0.8797865078549434,0.06597360638820461,0.0
26,1006,1069.9066666666668,0.4591967159607629,0.023805566971536365,0.0
27,1006,1058.5466666666666,0.717196622969722,0.15552899363304493,0.0
28,1006,1061.5433333333333,0.4509081059789244,0.13969298297416052,0.0
29,1006,1055.78,0.7302219977057516,0.1269357713324409,0.0
30,1006,1061.36,0.44568094092085375,0.030240199253281218,0.0
31,1006,1047.6866666666667,0.7358368233856336,0.0649358234586457,0.0
32,1006,1053.1933333333334,0.5416682409272346,0.16714666690674973,0.0
33,1006,1049.2933333333333,0.6210337779376924,0.10158838091378637,0.0
34,1006,1050.4866666666667,0.6295222904105919,0.1276036419983057,0.0
35,1006,1046.2866666666666,0.4903446804909698,0.025349680971072944,0.0
36,1006,1034.0966666666666,0.6973499313047469,0.15957313739639833,0.008946322067594433
37,997,1040.1966666666667,0.7541771820317509,0.20081002369451378,-0.006018054162487462
38,1003,1039.0533333333333,0.5683262621068219,0.14598018848335848,0.005982053838484547
39,997,1028.62,0.46941103390023237,0.04655034941299418,0.0
40,997,1016.23,0.8947882364860094,0.16622495488143402,0.0
41,997,1020.14,0.7189802227525772,0.10116691029998467,0.0
42,997,1015.36,0.4404355319679405,0.01730516294204564,0.0
43,997,1008.28,0.6410886870604133,0.05913234624021938,0.0
44,997,1009.2766666666666,0.7077570493706796,0.17554900366885678,0.0
45,997,1015.6366666666667,0.8593030707186224,0.20927427454616299,0.0020060180541624875
46,995,1021.6966666666667,0.822405129752176,0.08030108972438069,0.0
47,995,1013.2766666666666,0.7948037760981621,0.07400774102162232,0.0
48,995,1010.4166666666666,0.8510747419002049,0.16077610977203383,0.0
49,995,1011.5433333333333,0.5672000949830944,0.12742633401679979,0.0
50,995,1009.5333333333333,0.655498844422242,0.1448698740247858,0.0
51,995,1011.4466666666667,0.7111591594661899,0.04527291766582597,0.0
52,995,1005.4633333333334,0.8272571197676519,0.17468253413120632,0.0
53,995,1011.2633333333333,0.6269110363406423,0.17796057016550584,0.0
54,995,1011.5633333333334,0.8705013079085054,0.18753812252608568,0.0
55,995,1017.0733333333334,0.40154933901748496,0.12922110433111222,0.0
56,995,1014.3033333333333,0.40194060554929634,0.03237896423451333,0.0
57,995,1004.5266666666666,0.8813402714643187,0.09549482356924262,0.0
58,995,1010.0533333333333,0.6978470993576902,0.10496960736942892,0.0
59,995,1003.7366666666667,0.8155390201840111,0.11997102600254199,0.0
60,995,1005.59,0.6599123267456084,0.06286968581134514,0.0
61,995,1004.3466666666667,0.6529490356610412,0.08705952715732246,0.0
62,995,1005.1033333333334,0.7758471554929399,0.16817192815398396,0.0
63,995,1007.7166666666667,0.8074120847673218,0.15116854864689422,0.0
64,995,1008.2,0.5510993980282537,0.033442732999703115,0.0
65,995,1000.6866666666666,0.5737643398706995,0.09436784393597393,0.0
66,995,1003.3966666666666,0.42519298991471777,0.20120506819831044,0.0
67,995,1012.66,0.8678896267737745,0.1358566452740381,0.0
68,995,1010.4866666666667,0.4794036765335216,0.13021561261259243,0.0
69,995,1006.2,0.6225004591882077,0.06663596981329244,0.0
70,995,1003.92,0.7735994275142162,0.2002772072809001,0.0
71,995,1008.7766666666666,0.6707099544704315,0.07520114387231294,0.0
72,995,1002.3033333333333,0.6289686286708218,0.12677800151665958,0.0
73,995,1005.3133333333334,0.7789465578613066,0.08424940248282889,0.0
74,995,999.4633333333334,0.5487505273991866,0.08187378779406929,0.0
75,995,999.5233333333333,0.5586988994424281,0.1459036867237024,0.0
76,995,1003.3633333333333,0.6218765664656031,0.029238806246674423,0.0
77,995,997.58,0.6083587876911919,0.1462541554037372,0.0
78,995,1003.86,0.7542871687464541,0.08853480840898531,0.0
79,995,1001.04,0.7627681243767794,0.08057715535606931,0.0
80,995,1000.8466666666667,0.6029881661674577,0.1712092885051517,0.0
81,995,1005.9466666666667,0.5086189577641391,0.10900216608680564,0.0
82,995,1003.9266666666666,0.8304541155900382,0.20689442322154958,0.0
83,995,1008.1,0.7840874871237473,0.011596320043752786,0.0
84,995,998.98,0.7146009038296672,0.032690527365558386,0.0
85,995,999.66,0.40000882122519305,0.0890479074230639,0.0
86,995,999.9666666666667,0.8102697812032402,0.20147028215433505,0.0
87,995,1009.6266666666667,0.6814589573861826,0.19631984173203648,0.0
88,995,1012.11,0.772258273126351,0.1757688489138946,0.0
89,995,1012.3566666666667,0.6084122056139141,0.16702420444409738,0.0
90,995,1010.3033333333333,0.8687270556597866,0.09563749038848138,0.0
91,995,1004.2866666666666,0.6414721909976753,0.03190416773292416,0.0
92,995,999.4866666666667,0.6717095018449395,0.11264119980306456,0.0
93,995,1003.74,0.7393017269242264,0.14775968574924045,0.0
94,995,1004.11,0.5889363490424917,0.1627596282760391,0.0
95,995,1006.3933333333333,0.41026398108851053,0.06635282356249171,0.0
96,995,1001.82,0.6503861825510404,0.17220926363917222,0.0
Total Time,388.15757608413696,,,,
