generation,best_time,average_time,Pc,Pm,reward
1,1091,1239.2,0.6585089971587899,0.1050426988284275,-0.0018331805682859762
2,1093,1211.21,0.7023582821705856,0.1581980571105942,0.0054894784995425435
3,1087,1194.47,0.8792146045108471,0.2061630830314711,0.05795768169273229
4,1024,1181.03,0.8587642249018175,0.18608574768223118,0.0
5,1024,1171.2266666666667,0.4597388488927281,0.16130320419507121,0.0
6,1024,1153.9466666666667,0.40285998239291126,0.012145558256617997,0.0
7,1024,1134.3833333333334,0.6170004674347558,0.05932177526292583,0.0
8,1024,1121.0566666666666,0.7377613739347593,0.19187703080742916,0.0
9,1024,1127.0233333333333,0.40566846602066964,0.06694394322699554,0.0
10,1024,1102.0366666666666,0.7380111904381113,0.13746805426031963,0.001953125
11,1022,1096.39,0.5375642120468571,0.18683286974039826,0.0
12,1022,1085.1433333333334,0.5832870157813628,0.025486657983669128,0.0
13,1022,1075.61,0.744039358091263,0.16838811270131848,0.0
14,1022,1077.2666666666667,0.4083050105710893,0.05037987175258992,0.0
15,1022,1055.2233333333334,0.5280214798425215,0.08135285033725026,0.0
16,1022,1054.92,0.8411657653743021,0.17536816283305534,0.0
17,1022,1067.0433333333333,0.6356783482874011,0.046348618446992194,0.0
18,1022,1066.1233333333332,0.6374942983095659,0.06397165705337483,0.0
19,1022,1069.6366666666668,0.7767567585829236,0.10872551014114402,0.0
20,1022,1062.0933333333332,0.635513487385148,0.06925482691876397,0.0
21,1022,1049.0866666666666,0.5584200194500173,0.08069207163032643,0.0
22,1022,1041.5833333333333,0.8612630243401199,0.13214163089089226,0.0009784735812133072
23,1021,1045.1966666666667,0.5995550790358066,0.06090382875901522,0.0
24,1021,1037.5866666666666,0.8866492021018995,0.13250351898201304,0.0
25,1021,1042.8233333333333,0.784041063821971,0.04349484562469152,0.0
26,1021,1039.1233333333332,0.6106922070588641,0.01324384901182464,0.0
27,1021,1030.3966666666668,0.8765443142050955,0.10214092981905865,0.0
28,1021,1037.1233333333332,0.6328860298420379,0.054554383128798664,0.0
29,1021,1034.84,0.8545045098933713,0.04718942626836386,0.0
30,1021,1039.2633333333333,0.8353962109838622,0.016243701578957926,0.0
31,1021,1040.14,0.7462738693887442,0.11657508851455511,0.0
32,1021,1044.7366666666667,0.5960438381783215,0.026025755491052696,0.0
33,1021,1039.2566666666667,0.5860933534761807,0.20839500336800446,0.0
34,1021,1045.96,0.6779945326482402,0.18638953272675088,0.0
35,1021,1051.6566666666668,0.6573982921482611,0.1542672500840526,0.0019588638589618022
36,1019,1048.9433333333334,0.6527830426995735,0.034747654589393585,0.0
37,1019,1035.76,0.5470813355403434,0.15850677935145074,0.0
38,1019,1045.7033333333334,0.7056108034945696,0.13907919425891047,0.0
39,1019,1047.57,0.5470571720587195,0.19023436415693581,0.0
40,1019,1046.7133333333334,0.42449725944220423,0.11678207139866525,0.0
41,1019,1040.9966666666667,0.629031613344099,0.18388066186108426,0.0
42,1019,1046.3733333333332,0.6700731460665961,0.13060541638021284,0.0
43,1019,1043.37,0.5487427803855188,0.0390076784379639,0.0
44,1019,1035.08,0.672306009148665,0.11108957079565132,0.0
45,1019,1034.9966666666667,0.7220293805922127,0.19941767406770602,0.0
46,1019,1039.8566666666666,0.6523616108037456,0.011705170620932605,0.0
47,1019,1024.1433333333334,0.7312230154083776,0.06805109244377038,0.0
48,1019,1021.67,0.8077697758289104,0.06095497408003342,0.0
49,1019,1023.4633333333334,0.5141981957864452,0.08203389273419746,0.0
50,1019,1022.2833333333333,0.7573377087249125,0.12787577590820798,0.023552502453385672
51,995,1027.6233333333332,0.5454188336287484,0.012587123685915627,0.0
52,995,1020.67,0.8629066541308483,0.1725636789315716,0.0
53,995,1026.7333333333333,0.4379937919236418,0.17141380718570695,0.0
54,995,1026.31,0.8914419723024796,0.13152571617802838,0.0
55,995,1023.5933333333334,0.5340687553677754,0.12946514595956948,0.0
56,995,1021.1466666666666,0.8124024689915321,0.14650884180172474,0.0
57,995,1011.5733333333334,0.8954896498531014,0.15708676017078363,0.0
58,995,1012.4333333333333,0.7372153707941316,0.12174998768856445,0.0
59,995,1004.4033333333333,0.46425308791186987,0.10505746369958506,0.0
60,995,1002.3566666666667,0.7939045739545351,0.16684725403212075,0.0
61,995,1008.3033333333333,0.7233762425916259,0.1922432592525154,0.0
62,995,1010.0333333333333,0.736367021850221,0.20451858849742785,0.0
63,995,1013.3266666666667,0.419221333646773,0.02514536872726062,0.0
64,995,1002.0233333333333,0.7323029195350983,0.1945598096179216,0.0
65,995,1012.0366666666666,0.7356397705746807,0.010850917079999337,0.0
66,995,999.3833333333333,0.7644362101238598,0.05751592011858523,0.0
67,995,1004.1966666666667,0.4256341707190458,0.06990381635369738,0.0
68,995,1001.6466666666666,0.7942856111919198,0.06219396580278943,0.0
69,995,1003.6533333333333,0.4762830295114655,0.14339014828509666,0.0
70,995,1007.2533333333333,0.624115564231835,0.11674980667692725,0.0
71,995,1006.2466666666667,0.5055310845090857,0.08002646262585345,0.0
72,995,1001.8366666666667,0.6297039737740182,0.1866765627154938,0.003015075376884422
73,992,1008.2433333333333,0.8628704929431463,0.19937770606391406,0.0
74,992,1013.6933333333334,0.811694076212947,0.12027304647337307,0.0
75,992,1007.3433333333334,0.45375701370546856,0.030436474357059817,-0.0030241935483870967
76,995,1002.34,0.7707768720734822,0.1472775623315476,0.0
77,995,1005.5533333333333,0.5635031137993679,0.17415494680340712,0.0
78,995,1011.41,0.8952203983280062,0.03886856131506652,0.0
79,995,1002.6366666666667,0.48778322913332106,0.19323750836210132,0.0
80,995,1008.0766666666667,0.4205638091420545,0.038146830158748854,0.003015075376884422
81,992,1000.88,0.4702533857540626,0.20820654814292433,0.0
82,992,1013.2833333333333,0.4745508712294849,0.18567623442261139,0.0
83,992,1008.39,0.5207148212932893,0.16047160199596233,0.008064516129032258
84,984,1008.98,0.7290368049160002,0.1307722194141339,0.0
85,984,1009.49,0.6096005440960128,0.015721011004610687,0.0
86,984,1002.2433333333333,0.7566659037408668,0.16643368658762087,0.0
87,984,1013.1966666666667,0.5142055752673665,0.014339951590006485,0.0
88,984,1002.6833333333333,0.5383898032918923,0.1462384757186216,0.0
89,984,1005.02,0.4297573730882963,0.1031764332155422,0.0
90,984,998.85,0.5185719943250959,0.15228846713414115,0.0
91,984,1000.3333333333334,0.8685098309479833,0.013198124386816858,0.0
92,984,990.5566666666666,0.5453684198056089,0.17385881855040497,0.0
93,984,997.0866666666667,0.6218812480824185,0.04338087273222516,0.0
94,984,989.53,0.6925561116386239,0.12274039513346387,0.0
95,984,993.4133333333333,0.8104171821824151,0.19527252380724705,0.006097560975609756
96,978,997.88,0.8195170660244983,0.11435930449073883,0.0
97,978,993.2533333333333,0.44333493591828216,0.10351720985781938,0.0
98,978,989.2733333333333,0.47620665152197067,0.12853388640136582,0.0
99,978,993.02,0.879346805976996,0.12272896863270781,0.0
100,978,994.4333333333333,0.836945325997094,0.08777729143241474,0.0
101,978,992.8266666666667,0.4837496943375913,0.1867658127484279,0.00408997955010225
102,974,995.11,0.890163102111845,0.19797339077245787,0.0
103,974,996.53,0.788266570412526,0.07708295726231292,0.0
104,974,990.01,0.7708066406029275,0.13550933415838393,0.0
105,974,988.7233333333334,0.5756088549319376,0.16151710220337612,0.0
106,974,986.6533333333333,0.7825957068882641,0.03568137935559555,0.0
107,974,984.2033333333334,0.5954024494285539,0.04814136304291777,0.0
108,974,982.04,0.6427731669610786,0.123104831004932,0.0
109,974,985.7333333333333,0.8220578289799774,0.15402766394558245,0.004106776180698152
110,970,986.58,0.47175840894435006,0.12097071296572007,0.0
111,970,984.6066666666667,0.49390628185870056,0.04148530058785015,0.003092783505154639
112,967,978.8666666666667,0.5123354774785958,0.056669762758677064,0.0
113,967,976.9333333333333,0.452107994252299,0.10665716057400454,0.0
114,967,977.7333333333333,0.4881664864182955,0.037812694678358426,0.0
115,967,976.7233333333334,0.8987473973056166,0.20431933766390678,0.0
116,967,985.71,0.8878528257149079,0.09282324563144284,0.0
117,967,981.2233333333334,0.527183303098196,0.015159886754385057,0.0
118,967,974.4266666666666,0.882434993902635,0.05989927527491999,0.0
119,967,977.1566666666666,0.7990197681352209,0.0402396703756703,0.0
